   Burst time   Arrival time  Process Priority  Quantum time
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2
        20           0               3               2
        10           3               2               2
        30           7               1               2

